Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,Reward_Total,Reward_Queue,Reward_Throughput,Reward_Wait,Reward_Fairness
175,0,5,2.5,1,0,0,0.0,10.4,-1.6854099244875944,-0.5555555555555556,0.0,-0.5048543689320388,-0.625
176,1,4,1.5,0,0,1,0.2,10.75,-1.3371089536138079,-0.5555555555555556,0.125,-0.5315533980582523,-0.375
177,2,3,0.5,1,0,0,0.5,8.25,-1.1053128371089536,-0.5555555555555556,0.0,-0.42475728155339804,-0.125
178,2,2,0.0,0,0,0,0.83,5.5,-0.7517259978425026,-0.4444444444444444,0.0,-0.30728155339805824,-0.0
179,3,1,1.0,0,0,0,1.33,3.67,-0.9371628910463862,-0.4444444444444444,0.0,-0.24271844660194172,-0.25
180,4,0,2.0,1,0,0,1.71,0.0,-1.0274541531823085,-0.4444444444444444,0.0,-0.08300970873786408,-0.5
181,5,0,2.5,0,0,0,2.43,0.0,-1.2985167206040993,-0.5555555555555556,0.0,-0.11796116504854369,-0.625
182,5,0,2.5,0,0,0,3.14,0.0,-1.332982740021575,-0.5555555555555556,0.0,-0.1524271844660194,-0.625
183,5,0,2.5,0,0,1,3.86,0.0,-1.2429341963322547,-0.5555555555555556,0.125,-0.18737864077669902,-0.625
184,5,0,2.5,0,1,1,4.57,0.0,-1.2774002157497304,-0.5555555555555556,0.125,-0.22184466019417476,-0.625
185,7,0,3.5,0,0,0,5.57,0.0,-1.9231661272923408,-0.7777777777777778,0.0,-0.2703883495145631,-0.875
186,7,0,3.5,0,1,1,6.57,0.0,-1.8467098166127291,-0.7777777777777778,0.125,-0.31893203883495147,-0.875
187,7,0,3.5,0,0,0,7.57,0.0,-2.0202535059331175,-0.7777777777777778,0.0,-0.3674757281553398,-0.875
188,7,0,3.5,0,1,0,8.57,0.0,-2.068797195253506,-0.7777777777777778,0.0,-0.4160194174757281,-0.875
189,6,0,3.0,0,0,1,8.83,0.0,-1.7203074433656957,-0.6666666666666666,0.125,-0.4286407766990291,-0.75
190,5,1,2.0,0,1,0,7.5,0.2,-1.5404530744336569,-0.6666666666666666,0.0,-0.3737864077669903,-0.5
